"ppw" "exp"
"1" -0.15625 "circadian"
"2" -0.15625 "circadian"
"3" -0.15625 "circadian"
"4" -0.15625 "circadian"
"5" -0.46875 "circadian"
"6" 0.0624999999999998 "circadian"
"7" -0.15625 "circadian"
"8" -0.15625 "circadian"
"9" -0.3125 "circadian"
"10" -0.3125 "circadian"
"11" -0.812500000000001 "circadian"
"12" -0.46875 "circadian"
"13" -0.3125 "circadian"
"14" -0.3125 "circadian"
"15" -0.812500000000001 "circadian"
"16" -0.15625 "circadian"
"17" -0.15625 "circadian"
"18" -0.078125 "circadian"
"19" -0.078125 "circadian"
"20" -0.46875 "circadian"
"21" -0.15625 "circadian"
"22" -1 "circadian"
"23" -0.3125 "circadian"
"24" -0.3125 "circadian"
"25" -0.3125 "circadian"
"26" -0.812500000000001 "circadian"
"27" -0.15625 "circadian"
"28" -0.15625 "circadian"
"29" -0.3125 "circadian"
"30" 0.15625 "circadian"
"31" 0.15625 "circadian"
"32" 0.15625 "circadian"
"33" -0.265625 "circadian"
"34" -0.265625 "circadian"
"35" -0.265625 "circadian"
