"spearman" "pvalcorr" "pvallinear" "pvalanova" "bootstrap" "pearson" "Ncount"
"rho" -0.284815983951182 0.0168594325397112 0.273788071607634 3.6669019219259e-09 "notsigdifferent" 0.147173608265132 22
"rho1" -0.604952527958074 6.66671378362594e-06 0.117477747927642 9.48704215674561e-24 "notsigdifferent" 0.778845525402867 8
"rho2" -0.600113672930327 1.01624954283071e-06 0.124289668562482 5.28050252894017e-27 "notsigdifferent" 0.766868584586407 20
"rho3" -0.371765893941109 0.00141194829613741 0.0827751904014152 4.95352896362422e-42 "sigdifferent" 0.418882379179931 421
"rho4" -0.467513281293613 0.00137551601212756 0.0418691165421788 1.10235445924043e-06 "notsigdifferent" 0.795787215888927 102
"rho5" -0.424516566108389 0.00123682048818069 0.124289668562482 4.78401664401906e-26 "notsigdifferent" 0.766868584586407 166
"rho6" -0.594444817576806 0.000209626415980535 0.227381553734133 4.68968309957268e-10 "notsigdifferent" 0.596939263510282 1390
"rho7" -0.597417563519183 3.72615813979789e-05 0.107064293060396 3.59543054999088e-16 "notsigdifferent" 0.797334176727731 332
"rho8" -0.471225038658772 0.000828112048045117 0.807734013415513 3.47730289504919e-13 "notsigdifferent" 0.036966209597306 135
"rho9" -0.572961569906866 9.0374978817511e-05 0.251608537335208 2.39883100030635e-11 "notsigdifferent" 0.560089781389547 2411
"rho10" -0.482495947772367 7.14664106264465e-05 0.117211427580463 2.58618752347494e-24 "notsigdifferent" 0.779315663594524 130
"rho11" -0.439295092448472 0.000178394293936878 0.00856456495409483 5.1166567432228e-06 "notsigdifferent" 0.710721393569448 3
"rho12" -0.290540021928018 0.0475718838486126 0.227381553734133 3.07858317550712e-21 "notsigdifferent" 0.596939263510282 508
"rho13" -0.456415562477696 0.00143194805738804 0.227381553734133 8.67770828502091e-33 "sigdifferent" 0.596939263510282 3770
"rho14" -0.341082604944526 0.00473431999793232 0.00331403034770707 9.06191706982861e-12 "sigdifferent" 0.846669045064466 1
"rho15" -0.544095442943771 4.42416918700878e-05 0.227381553734133 1.54970576527176e-13 "notsigdifferent" 0.596939263510282 123
"rho16" -0.594157879561536 1.68519947901262e-05 0.227381553734133 7.26724211060835e-12 "notsigdifferent" 0.596939263510282 3419
"rho17" -0.24519920801764 0.0568274356890913 0.101052793703882 1.76292088099553e-22 "sigdifferent" 0.646401376422478 26
"rho18" -0.457795763599387 0.000440944138323035 0.00465767369648753 9.98724253389612e-08 "sigdifferent" 0.607911911948281 47470
