"spearman" "pvalcorr" "pvallinear" "pvalanova" "bootstrap" "pearson" "Ncount"
"rho" -0.589190222102098 0.00794259865669086 0.00248633556294979 0.0274364054159584 "notsigdifferent" 0.751360960361534 12
"rho1" -0.667819929598038 0.0126153197026895 0.0362004872721658 0.309339177577497 "notsigdifferent" 0.488413206171808 14
"rho2" -0.13812102228464 0.597044708465505 0.0236602721498748 0.245804572059833 "notsigdifferent" 0.492658907634929 24
"rho3" -0.81891262602886 0.00204802634992343 0.00102205573503206 0.000779676570500212 "sigdifferent" 0.903351842467004 16
"rho4" -0.67741935483871 0.139303816588903 0.114533780895078 0.068373810391583 "notsigdifferent" 0.784050425175966 17
"rho5" -0.499239771748413 0.0413262495927122 0.00471123752665884 0.0140589522830793 "notsigdifferent" 0.703600145043436 35
"rho6" -0.451358322742048 0.0912577169775546 0.00691447041659443 0.0411621829781468 "notsigdifferent" 0.729799316815792 19
"rho7" -0.673214194394262 0.0231757167030748 0.00278328746395575 0.00118877641489781 "notsigdifferent" 0.856773402368504 26
"rho8" -0.970588235294118 0.00128485650315491 0.0220691873468002 0.0252674846765318 "sigdifferent" 0.864614088003508 10
"rho9" -0.676116719518084 0.0318399483166377 0.00663606762056734 0.00200193470841948 "notsigdifferent" 0.869981473182762 24
"rho10" -0.658552774098175 0.019877475968417 0.00800775472983131 0.0125826229180296 "notsigdifferent" 0.784068801128421 19
"rho11" -0.702362985828346 0.0520788187373784 0.00779889803476057 0.0393370132638593 "notsigdifferent" 0.719220790356865 21
"rho12" -0.898026510133874 0.0150676985628473 0.0544201197747697 0.0141791585926824 "notsigdifferent" 0.894121309886761 16
"rho13" -0.94112394811432 0.00509754056486142 0.0344772508812255 0.0949084516186394 "notsigdifferent" 0.712839378397792 13
"rho14" -0.801783725737273 0.0300992478974625 0.0521638145258596 0.20943852928348 "notsigdifferent" 0.562553702071052 12
"rho15" -0.229036973710421 0.250492963286335 0.0128249037194086 0.47998479304702 "notsigdifferent" 0.444451177073845 32
"rho16" -0.479681569516303 0.060074346595404 0.00511510059384185 0.0837616549387235 "notsigdifferent" 0.600098222321428 22
"rho17" -0.681999219526999 0.00361219551321058 0.000704824938137551 0.00504054177636527 "notsigdifferent" 0.780098994667666 22
"rho18" -0.520476736110018 0.100713102728321 0.0152824485781531 0.100583775197214 "notsigdifferent" 0.652593002365982 13
"rho19" -0.748117356120796 0.0051365025983659 0.00681675656630856 0.0111407193549542 "notsigdifferent" 0.797083717707114 13
"rho20" -0.948683298050514 0.0513167019494862 0.077268305284338 0.0780804880315347 "notsigdifferent" 0.851433780432838 10
"rho21" -0.755567795340114 0.00715805622699256 0.00274954705583617 0.00163948200399311 "notsigdifferent" 0.85745474597546 18
"rho22" -0.821468634480981 0.000573528005942963 0.00133444855580157 0.0043117291263199 "notsigdifferent" 0.79072876655813 18
"rho23" -0.497633605648303 0.209534927122384 0.0458200351827306 0.175195782648676 "notsigdifferent" 0.582795654590101 12
"rho24" -0.571380044523348 0.180247522833793 0.0355326603451339 0.150061292214234 "notsigdifferent" 0.620125221937645 12
"rho25" -0.778832625935979 0.0133903102305365 0.0161981573030978 0.0498964226447076 "notsigdifferent" 0.717200959995981 11
"rho26" -0.654134824840292 0.0559629840578202 0.0116151170479379 0.0485611862546106 "notsigdifferent" 0.681371706934692 23
"rho27" -0.845154254728517 0.0341094231674097 0.0641699467914716 0.147308310987132 "notsigdifferent" 0.616766502125235 24
"rho28" -0.219329434178051 0.451215923498249 0.0257209068666654 0.184856951869196 "notsigdifferent" 0.532097927357663 24
