"ppw" "exp"
"1" -0.553532922335024 "MMP"
"2" -0.339394808915765 "MMP"
"3" -0.107065844670049 "MMP"
"4" -0.428271944119077 "MMP"
"5" 0 "MMP"
"6" -0.125260978215947 "MMP"
"7" 0 "MMP"
"8" -0.339399091635206 "MMP"
"9" -0.892932013970231 "MMP"
"10" -0.107065844670049 "MMP"
"11" -0.232328964245717 "MMP"
"12" -0.446464936305256 "MMP"
"13" -0.339399091635207 "MMP"
"14" -0.339399091635206 "MMP"
"15" -0.660603049724514 "MMP"
"16" -0.553532922335025 "MMP"
"17" -0.428271944119076 "MMP"
"18" -0.446467077664975 "MMP"
"19" -0.107067986029769 "MMP"
"20" -0.339399091635207 "MMP"
"21" -0.339399091635207 "MMP"
"22" -0.232331105605438 "MMP"
"23" -0.125260978215947 "MMP"
"24" -0.107065844670048 "MMP"
"25" -0.232328964245716 "MMP"
"26" 0 "MMP"
"27" -0.107065844670049 "MMP"
"28" -0.339399091635207 "MMP"
"29" -0.107067986029769 "MMP"
"30" -0.339399091635207 "MMP"
"31" -0.214133830699818 "MMP"
"32" -0.107065844670049 "MMP"
"33" -0.232328964245716 "MMP"
"34" -0.339399091635207 "MMP"
"35" -0.446467077664975 "MMP"
"36" -0.446464936305255 "MMP"
"37" -0.553532922335024 "MMP"
"38" -0.321203958089308 "MMP"
"39" -0.553532922335025 "MMP"
"40" -0.446464936305256 "MMP"
"41" -0.446464936305256 "MMP"
"42" -0.446464936305256 "MMP"
"43" -0.553532922335024 "MMP"
"44" -0.785864027940462 "MMP"
"45" -0.892932013970231 "MMP"
"46" -0.553532922335024 "MMP"
"47" -0.446464936305256 "MMP"
"48" -0.553532922335024 "MMP"
"49" -0.232328964245716 "MMP"
"50" -0.339399091635207 "MMP"
"51" -0.107065844670049 "MMP"
"52" -0.339399091635207 "MMP"
"53" -0.107065844670049 "MMP"
"54" -0.10707012738949 "MMP"
"55" -0.232331105605437 "MMP"
"56" 0 "MMP"
"57" -0.107065844670049 "MMP"
"58" -0.446467077664976 "MMP"
"59" -0.446464936305256 "MMP"
"60" -0.446464936305256 "MMP"
"61" -0.339396950275486 "MMP"
"62" -0.214138113419259 "MMP"
"63" -0.10707012738949 "MMP"
"64" -0.446467077664976 "MMP"
"65" -0.339399091635206 "MMP"
"66" -0.10707012738949 "MMP"
"67" -0.339399091635207 "MMP"
"68" -0.21413811341926 "MMP"
"69" -0.339399091635207 "MMP"
"70" -0.214138113419259 "MMP"
"71" 0.339396950275486 "MMP"
"72" -0.339396950275486 "MMP"
"73" -0.214135972059538 "MMP"
"74" -0.553532922335025 "MMP"
"75" -0.446467077664975 "MMP"
"76" -0.10707012738949 "MMP"
"77" -0.446464936305255 "MMP"
"78" -0.446467077664975 "MMP"
"79" -0.321206099449028 "MMP"
"80" -0.553532922335024 "MMP"
"81" -0.553532922335024 "MMP"
"82" -0.553532922335024 "MMP"
"83" -0.446467077664975 "MMP"
"84" -0.214135972059538 "MMP"
"85" -0.446464936305256 "MMP"
"86" -0.446464936305256 "MMP"
"87" -0.214138113419259 "MMP"
"88" -0.107067986029769 "MMP"
"89" -0.214133830699818 "MMP"
"90" -0.446464936305255 "MMP"
"91" -0.446464936305255 "MMP"
"92" -0.339399091635207 "MMP"
"93" -0.446464936305256 "MMP"
"94" -0.214135972059538 "MMP"
"95" -0.214135972059538 "MMP"
"96" -0.107065844670049 "MMP"
"97" -0.339396950275486 "MMP"
"98" -0.553535063694744 "MMP"
"99" -0.446464936305256 "MMP"
"100" -0.446464936305256 "MMP"
"101" -0.339396950275486 "MMP"
"102" -0.892932013970231 "MMP"
"103" -0.785861886580741 "MMP"
"104" -0.446464936305255 "MMP"
"105" -0.553532922335025 "MMP"
"106" -0.553532922335025 "MMP"
"107" -0.339396950275486 "MMP"
"108" -0.553532922335025 "MMP"
"109" -0.446464936305255 "MMP"
"110" -0.321203958089308 "MMP"
"111" -0.553532922335025 "MMP"
"112" -0.785864027940462 "MMP"
"113" -0.553535063694744 "MMP"
"114" -0.232331105605437 "MMP"
"115" 0 "MMP"
"116" 0 "MMP"
"117" 0 "MMP"
"118" -0.446464936305256 "MMP"
"119" 0 "MMP"
"120" 0 "MMP"
"121" -0.107067986029769 "MMP"
"122" 0 "MMP"
"123" -0.107067986029769 "MMP"
"124" 0 "MMP"
"125" -0.339394808915765 "MMP"
"126" -0.107067986029769 "MMP"
"127" -0.214138113419259 "MMP"
"128" -0.339399091635207 "MMP"
"129" -0.107067986029769 "MMP"
"130" -0.107067986029769 "MMP"
"131" 0.107067986029769 "MMP"
"132" -0.107065844670049 "MMP"
"133" -0.107067986029769 "MMP"
"134" -0.107065844670049 "MMP"
"135" 0 "MMP"
"136" -0.446467077664975 "MMP"
"137" 0 "MMP"
"138" -0.553532922335024 "MMP"
"139" -0.107067986029769 "MMP"
"140" 0.107067986029769 "MMP"
"141" -0.339399091635207 "MMP"
"142" -0.339399091635207 "MMP"
"143" -0.339399091635207 "MMP"
"144" -0.339399091635207 "MMP"
"145" -0.10707012738949 "MMP"
"146" -0.446464936305255 "MMP"
"147" -0.339399091635207 "MMP"
"148" 0.107067986029769 "MMP"
"149" 0 "MMP"
"150" -0.107067986029769 "MMP"
"151" 0 "MMP"
"152" 0 "MMP"
"153" -0.446464936305255 "MMP"
"154" -0.446467077664976 "MMP"
"155" -0.339399091635206 "MMP"
"156" -0.232328964245716 "MMP"
"157" -0.339399091635207 "MMP"
"158" -0.339399091635207 "MMP"
"159" -0.339399091635207 "MMP"
"160" -0.107065844670048 "MMP"
"161" 0.107065844670049 "MMP"
"162" 0 "MMP"
"163" -0.107065844670049 "MMP"
"164" 0 "MMP"
"165" -0.446464936305256 "MMP"
"166" -0.214133830699818 "MMP"
"167" -0.107067986029769 "MMP"
"168" -0.107065844670049 "MMP"
"169" -0.446467077664975 "MMP"
"170" -0.339396950275486 "MMP"
"171" -0.446464936305255 "MMP"
"172" -0.339399091635206 "MMP"
"173" 0.107065844670049 "MMP"
"174" -0.107065844670049 "MMP"
"175" -0.107065844670049 "MMP"
"176" -0.107067986029769 "MMP"
"177" 0 "MMP"
"178" -0.107065844670049 "MMP"
"179" -0.232331105605438 "MMP"
"180" -0.446467077664976 "MMP"
"181" -0.232331105605438 "MMP"
"182" 0 "MMP"
"183" -0.214138113419259 "MMP"
"184" 0 "MMP"
"185" 0 "MMP"
"186" 0 "MMP"
"187" -0.107067986029769 "MMP"
"188" 0 "MMP"
"189" -0.107065844670049 "MMP"
