"spearman" "pvalcorr" "pvallinear" "pvalanova" "bootstrap" "pearson" "Ncount"
"rho" -0.322894159926161 9.02310190802597e-08 0.00893162139618343 3.49844087248743e-92 "sigdifferent" 0.774793592276948 262
"rho1" -0.264935056281242 1.36821363060724e-06 0.00577852038651495 8.18758972307823e-22 "notsigdifferent" 0.74487423762211 323
"rho2" -0.3175715564233 5.02864359931751e-09 0.000577550472678277 6.22131713715908e-20 "notsigdifferent" 0.879217262539987 324
"rho3" -0.33204960540769 3.25418403943398e-08 0.00116732300748304 1.13630962373036e-22 "notsigdifferent" 0.847959886712185 264
"rho4" -0.177578176583018 0.0014002969614804 0.175750978454995 2.00284791865298e-57 "sigdifferent" 0.332008143651792 321
"rho5" -0.235197426008711 4.24361694212309e-05 0.00242192380671792 3.75666469844762e-83 "sigdifferent" 0.753156305196914 297
"rho6" -0.281174571743551 4.30160407368754e-06 0.04266920697788 4.34400374330605e-33 "notsigdifferent" 0.522859089749938 259
"rho7" -0.291886605849306 1.67857479701516e-08 0.0117281200532992 9.50936302245454e-96 "sigdifferent" 0.749972993649025 360
"rho8" -0.270501824490196 1.47541838890335e-07 0.00785639454254467 4.00859792106375e-22 "notsigdifferent" 0.785651896606485 366
"rho9" -0.193511420473796 0.00048933218392407 0.0346136861432167 1.66340523554538e-55 "sigdifferent" 0.552300356015143 321
"rho10" -0.219485171696706 0.000152352346099632 0.471216176548547 3.5181738628906e-62 "sigdifferent" 0.108234814726061 293
"rho11" -0.170589865069563 0.00187095770954198 0.00164152560298465 6.63557058404054e-152 "sigdifferent" 0.934574784529494 330
"rho12" -0.082088254065187 0.0554666394483824 0.00172950259480543 2.312569599598e-44 "notsigdifferent" 0.542820699304589 545
"rho13" -0.371670792425273 2.46644490082369e-29 0.00551934862356872 3.10104195292306e-183 "sigdifferent" 0.748598528861912 853
"rho14" -0.320056956542473 3.10638962317485e-16 0.000289054056008939 1.947062000576e-202 "sigdifferent" 0.620844889126092 620
"rho15" -0.281667325689256 2.4230343889644e-08 0.00444537184548842 1.9413096969034e-51 "sigdifferent" 0.828082275172203 379
"rho16" -0.251563168625487 0.000255757743758448 0.573748206274089 1.86818749167612e-50 "sigdifferent" 0.0674736951421418 207
"rho17" -0.0954560646140251 0.00139614868895512 0.000293504161917242 1.12309252011504e-120 "sigdifferent" 0.593996576443248 1118
"rho18" -0.170017126116356 0.00187823661724119 0.400142185504443 8.52294888102044e-22 "notsigdifferent" 0.102835362937967 332
"rho19" -0.17775749287704 0.00233813081153104 0.0294927473204186 2.21680040095532e-117 "sigdifferent" 0.645559419896674 291
"rho20" -0.022613781372306 0.584844138999311 0.00341379014121743 0 "sigdifferent" 0.844884460025266 586
"rho21" -0.0727580841233367 0.0313982019057723 0.886901897542753 2.46474482947578e-108 "sigdifferent" 0.00365616245214509 875
"rho22" -0.279905605389695 1.51273726291847e-19 0.131652405761708 8.15669122929264e-104 "sigdifferent" 0.166047355630449 1005
"rho23" -0.140222938942212 0.0408986064442798 0.00349965018265228 8.34970909820799e-26 "sigdifferent" 0.72680895709659 213
"rho24" -0.215638780965861 9.86947114342729e-12 8.45848315068386e-05 9.17059011166528e-92 "sigdifferent" 0.737147655003179 976
"rho25" -0.0737493463112658 0.162614804356841 0.0921360941629248 4.28191553791376e-53 "sigdifferent" 0.400544529616755 360
"rho26" -0.294709254487055 7.13712467603342e-07 0.00226509953441723 2.18456377126795e-31 "notsigdifferent" 0.811370672137765 273
"rho27" -0.228165470852949 0.000531232494593645 0.0485743174783417 4.32860720297339e-33 "notsigdifferent" 0.573785664281548 227
"rho28" -0.31607677100115 1.46797019439719e-09 0.00367369740148573 1.12264717411916e-36 "notsigdifferent" 0.779440969940138 350
"rho29" -0.2541449473391 5.46920715153945e-06 0.000218705313335657 0.80838729465158 "notsigdifferent" 0.912221257017659 312
"rho30" -0.212788393509865 0.000119252684183388 0.00718247390288996 4.64448631329466e-145 "sigdifferent" 0.8648635312905 322
"rho31" -0.203436838780894 0.000905853927694503 0.0165027812307273 1.60702625772671e-59 "sigdifferent" 0.715192174888492 263
"rho32" -0.29829538395398 6.79449138936795e-08 0.199642223895403 6.08579331280692e-37 "notsigdifferent" 0.222706781805625 315
"rho33" -0.276161974256359 1.04732408278527e-06 0.0150510172272788 2.660801523497e-44 "notsigdifferent" 0.724991953813964 303
"rho34" -0.308666821210386 1.04670307545377e-07 0.292218437970753 1.17656312905513e-68 "sigdifferent" 0.21691580425583 285
