"ppw" "exp"
"1" -0.666666666666667 "polyo"
"2" -1 "polyo"
"3" 0 "polyo"
"4" -0.333333333333333 "polyo"
"5" 0.5 "polyo"
"6" -0.333333333333333 "polyo"
"7" -0.166666666666667 "polyo"
"8" -0.833333333333333 "polyo"
"9" 0.166666666666667 "polyo"
"10" -0.333333333333333 "polyo"
"11" -0.666666666666667 "polyo"
"12" -0.833333333333333 "polyo"
"13" -0.333333333333333 "polyo"
"14" 0 "polyo"
"15" -0.5 "polyo"
"16" -0.666666666666667 "polyo"
"17" -0.333333333333333 "polyo"
"18" 0 "polyo"
"19" 0 "polyo"
"20" 0 "polyo"
"21" -0.166666666666667 "polyo"
