"spearman" "pvalcorr" "pvallinear" "pvalanova" "bootstrap" "pearson" "Ncount"
"rho" -0.415040298478747 0.048915488077013 0.00795538567986064 0.00143323137925902 "sigdifferent" 0.658120968333195 3132646
"rho1" -0.345321975277469 0.106560736776933 0.0845401963588121 0.245284005593106 "notsigdifferent" 0.326314268466616 649536
"rho2" -0.285498934624623 0.186657060059664 0.117559200896238 0.0729487857265979 "notsigdifferent" 0.416372555713815 1135584
"rho3" -0.57770679155464 0.00389094390513488 0.0017320575681092 4.59593591693471e-07 "sigdifferent" 0.881064139294006 112128
"rho4" -0.606309946635068 0.00216315959123558 0.0283577451060091 0.00177810967081413 "notsigdifferent" 0.650717006943231 112128
"rho5" -0.338165800316401 0.114507683624155 0.122957978215729 0.226226605055873 "notsigdifferent" 0.305201876564009 649536
"rho6" -0.321703949232525 0.134413173475287 0.00219074985118228 0.000159556763418806 "sigdifferent" 0.759904308819625 75744
"rho7" -0.351120142656723 0.10042490382647 0.0167642202200213 0.0121067928015279 "notsigdifferent" 0.642360175521991 112128
"rho8" -0.242896257926847 0.264098970032076 0.0182568254438767 0.0245540033893135 "notsigdifferent" 0.572635143661933 75744
"rho9" -0.658553566925434 0.000633951223901918 0.0827741735711097 0.0637904313647159 "notsigdifferent" 0.483611322215777 34368
"rho10" -0.726082436727137 8.77385905357948e-05 0.0638127799662773 0.112924144525198 "notsigdifferent" 0.461660233464384 34368
"rho11" -0.385915004933246 0.0689466445506045 0.0021623517966956 0.000189202176175257 "sigdifferent" 0.760768850540692 75744
"rho12" -0.58010752803505 0.00371137719611847 0.00268302953100342 0.000626780298761794 "sigdifferent" 0.746082272547924 17184
"rho13" 0.0189779196580501 0.931508773462762 0.258838271319895 0.637447643814381 "notsigdifferent" 0.244911697787238 35328
"rho14" -0.338228978026044 0.114435687754672 0.0331677223679004 0.003237051181668 "sigdifferent" 0.629712654631001 75744
"rho15" -0.258664753286034 0.233359864661728 0.0204402142358891 0.0108198491339232 "notsigdifferent" 0.619506899921836 75744
"rho16" -0.610317927098299 0.00198355359606926 0.0649199420611732 0.0231594102727892 "notsigdifferent" 0.526501633624208 17184
"rho17" -0.261849303673597 0.227450235098798 0.253366289552838 0.535336700733448 "notsigdifferent" 0.210090047285521 75744
