Name	Cusps	OPC	 
2009	0	9.75	
13409	0	9.5	
11112	0	4.25	
15682	0	20.5	
17399	0	7.0	
2470	1	10.5	
9870	1	8.0	
16979	1	11.25	
17498	0	8.5	
11613	0	9.5	
13308	1	18.5	
1840	1	10.5	
5705	1	11.0	
3408	0	9.5	
11811	1	11.25	
3071	1	13.625	
14260	0	9.5	
14561	1	8.5	
15880	1	9.5	
4304	1	9.375	
8808	1	8.0	
3595	0	6.0	
4337	1	9.5	
14651	1	9.0	
3042	0	9.25	
14150	1	24.75	
4299	0	9.5	
8995	0	9.0	
11523	1	8.5	
1873	1	18.0	
13038	1	21.75	
2194	1	13.25	
680	1	11.0	
5736	0	8.75	
9843	1	13.5	
543	1	9.5	
14853	1	9.5	
2443	0	9.375	
5698	0	9.5	
13739	0	10.75	
11222	0	8.5	
5287	1	42.0	
2425	0	9.5	
11442	1	25.625	
13159	0	9.25	
13658	0	8.75	
1815	1	12.0	
11343	1	12.125	
5750	1	10.5	
5329	1	14.0	
9825	1	10.5	
14932	0	10.75	
4686	1	21.5	
14730	1	9.0	
22	0	9.5	
3024	1	15.25	
4351	1	10.5	
458	1	13.5	
4728	1	8.5	
14031	0	9.25	
14301	0	9.75	
11970	1	9.5	
10491	0	11.5	
4362	0	9.0	
10390	0	9.25	
14400	0	9.5	
3017	1	11.375	
9816	1	8.75	
1826	0	9.0	
13568	1	9.75	
11073	1	10.5	
271	1	11.25	
12889	1	10.5	
5763	1	8.5	
1988	0	6.5	
11772	0	10.5	
13269	1	20.5	
16818	0	6.0	
2416	1	10.5	
2574	1	11.75	
10152	0	9.5	
12449	1	14.0	
5601	0	8.25	
12348	0	9.25	
1944	0	10.25	
10653	1	13.0	
17939	0	8.5	
5278	1	9.0	
9974	1	9.5	
15220	0	9.75	
3175	1	15.5	
10851	1	9.5	
4200	1	9.25	
4679	0	9.25	
15521	1	9.75	
15611	0	9.25	
324	1	10.5	
11181	1	14.0	
4233	0	9.25	
3491	1	8.5	
8891	0	9.0	
11680	1	8.25	
15110	1	15.25	
3146	1	11.5	
9947	0	10.5	
5632	0	10.5	
2090	0	4.25	
11882	0	9.25	
1977	0	9.5	
12078	1	12.375	
10563	0	6.5	
10262	0	9.375	
12779	1	9.0	
2547	1	24.75	
15813	1	17.75	
12119	1	8.25	
10402	0	9.5	
2158	1	8.375	
2521	1	9.5	
5383	1	9.25	
14392	1	9.5	
16689	1	23.5	
16188	1	11.0	
14493	1	10.5	
15972	0	9.25	
9921	1	11.5	
5654	1	12.5	
10303	1	12.75	
12618	0	9.5	
1911	1	9.125	
3559	1	9.5	
3120	1	10.75	
15770	1	9.375	
4782	0	9.0	
15071	0	9.25	
4255	1	10.5	
8959	0	7.25	
4266	0	10.0	
10930	0	8.25	
15341	0	9.25	
416	1	13.0	
3113	0	10.25	
15440	1	13.5	
5667	0	10.5	
