"spearman" "pvalcorr" "pvallinear" "pvalanova" "bootstrap" "pearson" "Ncount"
"rho" -0.521434575361173 0 1.44347073807114e-07 3.0168267939274e-06 "notsigdifferent" 0.973118316206184 14689
"rho1" -1 0 4.89243955817004e-07 0 "notsigdifferent" 0.963561599597456 15470
"rho2" 0.10286615629455 1.07799989462186e-35 3.68229022835423e-07 9.73774970787849e-235 "notsigdifferent" 0.966051630559566 14637
"rho3" -1 0 0.00144115294475223 0 "notsigdifferent" 0.938653854032095 15298
"rho4" -1 0 0.00191726089383099 1.39392319527059e-262 "notsigdifferent" 0.876226602521721 15380
"rho5" -1 0 0.305637722631344 0 "notsigdifferent" 0.786682482518031 15572
"rho6" -0.18042827867865 5.12868561608124e-113 4.95253313034655e-05 1.84357197833981e-24 "notsigdifferent" 0.946254593480215 15425
"rho7" -1 0 0.064143697890361 3.49192455098217e-165 "notsigdifferent" 0.732779481847398 15518
"rho8" -1 0 0.108776110637053 0 "sigdifferent" 0.794280020971219 15098
"rho9" -1 0 0.0568092657165827 0 "notsigdifferent" 0.889608761238091 15939
"rho10" -0.540145318475588 0 0.00586984435893246 0 "notsigdifferent" 0.633695831109704 14393
"rho11" -1 0 0.0568092657165827 0 "notsigdifferent" 0.889608761238091 15939
