"spearman" "pvalcorr" "pvallinear" "pvalanova" "bootstrap" "pearson" "Ncount"
"rho" -0.49430966761647 0 0.00341002569525235 0 "sigdifferent" 0.678173904885543 14689
"rho1" -0.701422562698117 0 0.0159155366111847 0 "sigdifferent" 0.536999652319958 15470
"rho2" -0.648061482024924 0 0.00607474383639913 0 "sigdifferent" 0.630702178521199 14637
"rho3" -0.479484910775197 0 0.00306266883759675 0 "sigdifferent" 0.686349788184913 15298
"rho4" -0.271239197912139 1.75822379282678e-243 0.00584687990440317 0 "sigdifferent" 0.634036409399229 15380
"rho5" -0.448842849560884 0 0.0256561541468184 0 "sigdifferent" 0.483168246529722 15572
"rho6" -0.0948070823629556 2.58075494664457e-29 0.00153040479164416 0 "notsigdifferent" 0.734593086004284 15425
"rho7" -0.257275297399724 5.54889468909393e-209 0.0201112989996967 0 "notsigdifferent" 0.511257310656922 15518
"rho8" -0.801516110901918 0 0.00069748124118842 0 "sigdifferent" 0.780658915702556 15098
"rho9" -0.793743220449485 0 0.0151343020036182 0 "notsigdifferent" 0.542379380056709 15939
"rho10" 0.530123237443995 0 0.424993777738997 0 "sigdifferent" 0.0929632489556857 14393
"rho11" -0.793743220449485 0 0.0151343020036182 0 "notsigdifferent" 0.542379380056709 15939
